SIGNALENERGY_AVG,BIN_AVG0,BIN_AVG1,BIN_AVG2,BIN_AVG3,BIN_AVG4,BIN_AVG5,BIN_AVG6,BIN_AVG7,BIN_AVG8,BIN_AVG9,BIN_AVG10,BIN_AVG11,BIN_AVG12,BIN_AVG13,BIN_AVG14,BIN_AVG15,BIN_AVG16,BIN_AVG17,BIN_AVG18,BIN_AVG19,SIGNALENERGY_STDEV,BIN_STDEV0,BIN_STDEV1,BIN_STDEV2,BIN_STDEV3,BIN_STDEV4,BIN_STDEV5,BIN_STDEV6,BIN_STDEV7,BIN_STDEV8,BIN_STDEV9,BIN_STDEV10,BIN_STDEV11,BIN_STDEV12,BIN_STDEV13,BIN_STDEV14,BIN_STDEV15,BIN_STDEV16,BIN_STDEV17,BIN_STDEV18,BIN_STDEV19,style,file_name
0.755378,6.267155,0.571064,-0.300220,-0.093774,-0.250442,-0.208528,-0.304404,-0.225342,-0.312015,-0.206337,-0.267049,-0.210796,-0.267337,-0.231141,-0.259379,-0.238733,-0.258961,-0.263808,-0.260568,-0.257991,-0.137802,0.255841,-0.049145,-0.081130,-0.121229,-0.130198,-0.143850,-0.165929,-0.159881,-0.164562,-0.180257,-0.191986,-0.189838,-0.193181,-0.194127,-0.205078,-0.212094,-0.222794,-0.228391,-0.228275,-0.232870,"blues","../../../datasets/music/blues/blues.00000.au"
0.750330,6.202825,0.659668,-0.107188,-0.146841,-0.248348,-0.214390,-0.313418,-0.190762,-0.338657,-0.240321,-0.312334,-0.281620,-0.298753,-0.273249,-0.301086,-0.265725,-0.289409,-0.290909,-0.290424,-0.290853,-0.101056,0.683734,0.015784,-0.003018,-0.090689,-0.126666,-0.166622,-0.177924,-0.184524,-0.197919,-0.201300,-0.211701,-0.212056,-0.220042,-0.225162,-0.231266,-0.241923,-0.250747,-0.252518,-0.259164,-0.263759,"blues","../../../datasets/music/blues/blues.00001.au"
0.778891,6.245543,0.662977,-0.332609,-0.189188,-0.278131,-0.172754,-0.263894,-0.227966,-0.283869,-0.243627,-0.288318,-0.239112,-0.244449,-0.234115,-0.274789,-0.254225,-0.271760,-0.266476,-0.267069,-0.250450,-0.169839,0.323051,-0.001913,-0.052957,-0.106890,-0.136241,-0.165565,-0.165208,-0.160075,-0.174640,-0.185599,-0.191057,-0.190789,-0.198017,-0.202668,-0.211693,-0.218137,-0.216902,-0.219587,-0.226945,-0.232937,"blues","../../../datasets/music/blues/blues.00002.au"
0.816646,6.188761,0.857958,-0.138315,-0.126934,-0.266332,-0.194880,-0.279610,-0.239932,-0.274758,-0.240661,-0.303945,-0.250473,-0.266271,-0.259496,-0.283405,-0.268975,-0.295158,-0.283023,-0.292020,-0.283757,-0.094008,0.532145,-0.023137,-0.088273,-0.145484,-0.136044,-0.180967,-0.184573,-0.179740,-0.206453,-0.211416,-0.211875,-0.223441,-0.226338,-0.227233,-0.237601,-0.248515,-0.246169,-0.253893,-0.258317,-0.264088,"blues","../../../datasets/music/blues/blues.00003.au"
0.721233,6.212011,0.723213,-0.374327,-0.167253,-0.419617,-0.213242,-0.361802,-0.280317,-0.296979,-0.223923,-0.294482,-0.267037,-0.283249,-0.259057,-0.287225,-0.260028,-0.272118,-0.255099,-0.269265,-0.263197,-0.109579,0.537284,0.104602,-0.070847,-0.112564,-0.101629,-0.155227,-0.162214,-0.144561,-0.169276,-0.179090,-0.190855,-0.175885,-0.189589,-0.180599,-0.206784,-0.196052,-0.216774,-0.225713,-0.230821,-0.232067,"blues","../../../datasets/music/blues/blues.00004.au"
0.754726,6.107173,0.898196,-0.504267,-0.068615,-0.216640,-0.246549,-0.396058,-0.254892,-0.321821,-0.282958,-0.336966,-0.286718,-0.317606,-0.311011,-0.299478,-0.283873,-0.315928,-0.302428,-0.308535,-0.302226,-0.084148,0.891988,0.224235,0.026769,-0.082634,-0.053905,-0.168277,-0.191964,-0.201367,-0.185396,-0.200152,-0.211104,-0.217509,-0.223913,-0.226196,-0.236453,-0.240103,-0.241767,-0.257073,-0.260954,-0.263603,"blues","../../../datasets/music/blues/blues.00006.au"
0.769920,6.179252,0.788799,-0.335980,-0.030977,-0.219047,-0.217258,-0.397756,-0.241209,-0.347448,-0.255645,-0.299580,-0.278335,-0.295800,-0.278450,-0.304337,-0.279099,-0.293928,-0.279772,-0.296002,-0.294981,-0.131268,0.626666,0.149523,-0.065089,-0.089245,-0.086665,-0.164334,-0.174803,-0.176492,-0.178361,-0.177680,-0.192922,-0.214802,-0.215795,-0.223682,-0.231202,-0.239933,-0.245278,-0.250871,-0.253665,-0.256469,"blues","../../../datasets/music/blues/blues.00007.au"
0.766836,6.145047,0.876695,-0.382884,-0.182359,-0.435288,-0.257248,-0.368893,-0.254022,-0.329000,-0.299679,-0.326202,-0.277846,-0.292953,-0.258778,-0.292748,-0.276017,-0.293889,-0.273566,-0.279122,-0.277436,-0.077575,0.757051,0.088913,0.000389,-0.013951,-0.142718,-0.155585,-0.189269,-0.191598,-0.171544,-0.194852,-0.203494,-0.200125,-0.195725,-0.206715,-0.200996,-0.201227,-0.211061,-0.224834,-0.240032,-0.255702,"blues","../../../datasets/music/blues/blues.00010.au"
0.760089,6.163424,0.853223,-0.146855,-0.011544,-0.266995,-0.174168,-0.313524,-0.232885,-0.310586,-0.233583,-0.333644,-0.299060,-0.317856,-0.285691,-0.312098,-0.293875,-0.317370,-0.306185,-0.312198,-0.306577,-0.020694,0.669982,0.142400,-0.102263,-0.100097,-0.117712,-0.177295,-0.192933,-0.177022,-0.189829,-0.202083,-0.228054,-0.229972,-0.229599,-0.247657,-0.250333,-0.264512,-0.265517,-0.265668,-0.271640,-0.281545,"blues","../../../datasets/music/blues/blues.00011.au"
0.793735,6.188282,0.815177,-0.302304,0.053912,-0.258105,-0.267884,-0.272272,-0.293148,-0.373888,-0.258186,-0.281790,-0.287526,-0.313082,-0.279468,-0.289167,-0.282810,-0.301246,-0.283250,-0.298693,-0.281401,-0.127355,0.511858,-0.029453,0.052174,-0.084048,-0.096115,-0.161023,-0.183890,-0.184785,-0.192744,-0.189845,-0.201204,-0.201818,-0.207874,-0.216226,-0.230130,-0.228083,-0.230247,-0.232542,-0.243212,-0.250324,"blues","../../../datasets/music/blues/blues.00012.au"
