node_id,threshold,feature_id,left_children_id,right_children_id,class
0,0.952177494764328,2,1,208,"classical"
1,-0.22965449839830399,16,2,163,"disco"
2,-0.22882699966430664,38,3,76,"pop"
3,0.6455840170383453,2,4,47,"reggae"
4,0.38243649899959564,2,5,24,"reggae"
5,-0.19689249992370605,32,6,15,"hiphop"
6,-0.24074950069189072,11,7,14,"hiphop"
7,-0.20270049571990967,33,8,11,"hiphop"
8,0.0650165006518364,24,9,10,"hiphop"
9,-2.0,-2,-1,-1,"hiphop"
10,-2.0,-2,-1,-1,"disco"
11,-0.28679199516773224,19,12,13,"disco"
12,-2.0,-2,-1,-1,"disco"
13,-2.0,-2,-1,-1,"pop"
14,-2.0,-2,-1,-1,"reggae"
15,-0.20022499561309814,33,16,21,"reggae"
16,-0.1693580001592636,28,17,18,"reggae"
17,-2.0,-2,-1,-1,"hiphop"
18,-0.20295250415802002,7,19,20,"reggae"
19,-2.0,-2,-1,-1,"reggae"
20,-2.0,-2,-1,-1,"pop"
21,-0.12781349942088127,26,22,23,"hiphop"
22,-2.0,-2,-1,-1,"rock"
23,-2.0,-2,-1,-1,"hiphop"
24,-0.24731899797916412,41,25,38,"reggae"
25,-0.25582151114940643,6,26,33,"reggae"
26,0.6043969988822937,2,27,30,"hiphop"
27,-0.19006799906492233,32,28,29,"hiphop"
28,-2.0,-2,-1,-1,"hiphop"
29,-2.0,-2,-1,-1,"jazz"
30,-0.19269350171089172,30,31,32,"reggae"
31,-2.0,-2,-1,-1,"country"
32,-2.0,-2,-1,-1,"reggae"
33,-0.23507099598646164,9,34,37,"reggae"
34,-0.10205649957060814,25,35,36,"reggae"
35,-2.0,-2,-1,-1,"reggae"
36,-2.0,-2,-1,-1,"reggae"
37,-2.0,-2,-1,-1,"hiphop"
38,-0.1848985031247139,6,39,44,"country"
39,-0.27158550918102264,16,40,41,"country"
40,-2.0,-2,-1,-1,"pop"
41,-0.20668799430131912,33,42,43,"country"
42,-2.0,-2,-1,-1,"rock"
43,-2.0,-2,-1,-1,"country"
44,-0.26177000999450684,13,45,46,"disco"
45,-2.0,-2,-1,-1,"disco"
46,-2.0,-2,-1,-1,"hiphop"
47,-0.33848999440670013,9,48,51,"blues"
48,-0.18823300302028656,27,49,50,"blues"
49,-2.0,-2,-1,-1,"jazz"
50,-2.0,-2,-1,-1,"blues"
51,-0.20971649885177612,6,52,65,"country"
52,-0.21594899892807007,33,53,58,"country"
53,-0.29399649798870087,9,54,57,"reggae"
54,-0.1885785013437271,28,55,56,"rock"
55,-2.0,-2,-1,-1,"blues"
56,-2.0,-2,-1,-1,"rock"
57,-2.0,-2,-1,-1,"reggae"
58,-0.2661125063896179,15,59,62,"country"
59,-0.20560849457979202,8,60,61,"country"
60,-2.0,-2,-1,-1,"country"
61,-2.0,-2,-1,-1,"blues"
62,-0.29790249466896057,7,63,64,"reggae"
63,-2.0,-2,-1,-1,"country"
64,-2.0,-2,-1,-1,"reggae"
65,-0.2824614942073822,19,66,71,"blues"
66,-0.09273400157690048,25,67,70,"blues"
67,-0.24192999303340912,12,68,69,"blues"
68,-2.0,-2,-1,-1,"blues"
69,-2.0,-2,-1,-1,"rock"
70,-2.0,-2,-1,-1,"reggae"
71,-0.2590769976377487,7,72,73,"rock"
72,-2.0,-2,-1,-1,"rock"
73,-0.17915600538253784,6,74,75,"jazz"
